名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,8 回,,,06,ツモ,10 回,50.00%,2 位,,0,±0,,東1局,±0,8 回,0
総局数,80 回,,,03,ドラ,8 回,40.00%,3 位,,1,-15.0,,東2局,±0,8 回,0
通算スコア,±0,,,04,裏ドラ,6 回,30.00%,3 位,,2,+66.3,,東3局,±0,8 回,0
平均スコア,±0,,,07,平和,4 回,20.00%,2 位,,3,+97.4,,東4局,±0,8 回,0
平均順位,2.50 位,,,10,役牌,4 回,20.00%,2 位,,4,±0,,南1局,±0,8 回,0
1位,2 回,25.0%,,13,嶺上開花,4 回,20.00%,2 位,,5,-15.0,,南2局,±0,8 回,0
2位,2 回,25.0%,,52,赤ドラ,4 回,20.00%,2 位,,6,+66.3,,南3局,±0,8 回,0
3位,2 回,25.0%,,01,立直,2 回,10.00%,2 位,,7,+97.4,,南4局,±0,8 回,0
4位,2 回,25.0%,,02,一発,2 回,10.00%,2 位,,8,±0,,,,,
連対,4 回,50.0%,,08,一盃口,2 回,10.00%,2 位,,,,,起家,スコア,回数,合計
ふっとび,2 回,25.0%,,09,タンヤオ,2 回,10.00%,2 位,,,,,東家,-15.00,2 回,-30
ふっとばし,2 回,25.0%,,12,河底撈魚,2 回,10.00%,2 位,,,,,南家,+81.30,2 回,162.6
逆転,2 回,25.0%,,16,一気通貫,2 回,10.00%,2 位,,,,,西家,+31.10,2 回,62.2
リーチ,16 回,20.0%,,17,チャンタ,2 回,10.00%,2 位,,,,,北家,-97.40,2 回,-194.8
副露,4 回,5.0%,,18,三色同順,2 回,10.00%,2 位,,,,,,,,
リーチ成功,6 回,37.5%,,20,三暗刻,2 回,10.00%,2 位,,,,,相手,スコア,回数,合計
副露成功,2 回,50.0%,,21,三槓子,2 回,10.00%,2 位,,,,,Player2,-108.40,6 回,-650.4
アガリ,20 回,25.0%,,24,混老頭,2 回,10.00%,2 位,,,,,Player3,-41.47,6 回,-248.8
ツモ,14 回,70.0%,,25,七対子,2 回,10.00%,2 位,,,,,Player4,+129.87,6 回,779.2
ロン,6 回,30.0%,,37,緑一色,2 回,10.00%,2 位,,,,,Player1,+20.00,6 回,120
放銃,6 回,7.5%,,41,天和,2 回,10.00%,2 位,,,,,,,,
連続アガリ,0 回,0 回,,46,純正九蓮,2 回,10.00%,2 位,,,,,,,,
連続無放銃,0 回,0 回,,11,海底摸月,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,22310,446200,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-26667,-160000,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,3 個,,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
最大点数,91300,,,22,対々和,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,28,混一色,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
